,from_iso3,to_iso3,sector,trade_value
331,CHN,MOZ,Wholesale Trade,736259.6536930363
332,CHN,MRT,Wholesale Trade,399.0858018008623
333,CHN,MSR,Wholesale Trade,15414.239854234
334,CHN,MUS,Wholesale Trade,1272654.837951324
335,CHN,MWI,Wholesale Trade,57708.597961473395
336,CHN,MYS,Wholesale Trade,33949927.37468725
337,CHN,NAM,Wholesale Trade,532895.3153754524
338,CHN,NCL,Wholesale Trade,834939.1265629124
339,CHN,NER,Wholesale Trade,1283418.4542512451
340,CHN,NGA,Wholesale Trade,2244541.113654089
341,CHN,NIC,Wholesale Trade,797264.2967449906
342,CHN,NIU,Wholesale Trade,2.024105578269649
343,CHN,NLD,Wholesale Trade,113429871.04817069
344,CHN,NOR,Wholesale Trade,15199304.539735433
345,CHN,NPL,Wholesale Trade,13432.316390807988
346,CHN,NRU,Wholesale Trade,0.1075380767675729
347,CHN,NZL,Wholesale Trade,12615146.376468224
348,CHN,OMN,Wholesale Trade,6382021.483701647
349,CHN,PAK,Wholesale Trade,17793936.825562574
350,CHN,PAN,Wholesale Trade,4273740.143542157
351,CHN,PER,Wholesale Trade,6445415.775574299
352,CHN,PHL,Wholesale Trade,14779528.815535504
353,CHN,PNG,Wholesale Trade,3534.2174744246104
354,CHN,POL,Wholesale Trade,41735603.34804664
355,CHN,PRK,Wholesale Trade,20661.478749478483
356,CHN,PRT,Wholesale Trade,35205247.96178396
357,CHN,PRY,Wholesale Trade,1148185.427801113
358,CHN,PSE,Wholesale Trade,219712.21317692797
359,CHN,PYF,Wholesale Trade,572341.0047611891
360,CHN,QAT,Wholesale Trade,13859022.796904035
361,CHN,ROM,Wholesale Trade,9733186.32463563
362,CHN,RUS,Wholesale Trade,57440364.23629893
363,CHN,RWA,Wholesale Trade,805131.7417732981
364,CHN,SAU,Wholesale Trade,31631711.806742594
365,CHN,SDN,Wholesale Trade,2400438.5806405367
366,CHN,SEN,Wholesale Trade,1280856.5214973462
367,CHN,SGP,Wholesale Trade,121113962.49353065
368,CHN,SLB,Wholesale Trade,107278.78452505448
369,CHN,SLE,Wholesale Trade,9745.208324717654
370,CHN,SLV,Wholesale Trade,1100806.8990221894
371,CHN,SMR,Wholesale Trade,2.9441535683922164
372,CHN,SRB,Wholesale Trade,1138619.524412172
373,CHN,STP,Wholesale Trade,23.264090302433488
374,CHN,SUR,Wholesale Trade,175482.01672760985
375,CHN,SVK,Wholesale Trade,16611549.262579322
376,CHN,SVN,Wholesale Trade,6314681.135970081
377,CHN,SWE,Wholesale Trade,67437539.73592897
378,CHN,SWZ,Wholesale Trade,166059.67764930672
379,CHN,SYC,Wholesale Trade,517451.6998603168
380,CHN,SYR,Wholesale Trade,25737.66512661123
381,CHN,TCA,Wholesale Trade,137.34764324467702
382,CHN,TCD,Wholesale Trade,120636.57078238224
383,CHN,TGO,Wholesale Trade,588107.2922162581
384,CHN,THA,Wholesale Trade,59547359.61196641
385,CHN,TJK,Wholesale Trade,320420.9442294363
386,CHN,TKM,Wholesale Trade,46933.961406931885
387,CHN,TMP,Wholesale Trade,130016.80005633518
388,CHN,TON,Wholesale Trade,0.10753807817350372
389,CHN,TTO,Wholesale Trade,294912.18917958
390,CHN,TUN,Wholesale Trade,7630143.28485499
391,CHN,TUR,Wholesale Trade,26546504.84708209
392,CHN,TUV,Wholesale Trade,18.807215220981245
393,CHN,TZA,Wholesale Trade,1317.7552281866
394,CHN,UGA,Wholesale Trade,2532365.033306268
395,CHN,UKR,Wholesale Trade,4745569.129086121
396,CHN,URY,Wholesale Trade,2539689.6280228226
397,CHN,USA,Wholesale Trade,447101296.12765765
398,CHN,UZB,Wholesale Trade,270861.53047905467
399,CHN,VAT,Wholesale Trade,44.85532668727426
400,CHN,VCT,Wholesale Trade,111411.22729745068
401,CHN,VEN,Wholesale Trade,13915174.61973642
402,CHN,VGB,Wholesale Trade,1635801.4116890891
403,CHN,VNM,Wholesale Trade,16103026.608171552
404,CHN,VUT,Wholesale Trade,115730.28858424662
405,CHN,WLD,Wholesale Trade,2937553720.57088
406,CHN,WSM,Wholesale Trade,467.67833282930985
407,CHN,XXX,Wholesale Trade,1005746175.5202104
408,CHN,YEM,Wholesale Trade,3198.3684887031773
409,CHN,ZAF,Wholesale Trade,23828633.55674472
410,CHN,ZMB,Wholesale Trade,1202364.785283318
411,CHN,ZWE,Wholesale Trade,1539633.7765868288
412,CHN,ABW,Water Transport,291067.0700054659
413,CHN,AFG,Water Transport,163249.25128656212
414,CHN,AGO,Water Transport,7383233.192540618
415,CHN,AIA,Water Transport,63864.559084199434
416,CHN,ALB,Water Transport,755399.9846555891
417,CHN,AND,Water Transport,231761.9228803009
418,CHN,ANT,Water Transport,890966.7373702647
419,CHN,ARE,Water Transport,18691177.288060006
