country1,country2,mindist
VEN,GIN,4913.7111618133795
VEN,GNB,4738.394681733111
VEN,MLI,5227.84726665952
VEN,SEN,4659.26139511569
VEN,SLE,5116.27162180267
VEN,GMB,4728.19601999948
VEN,DJI,11080.8440835971
VEN,ERI,10442.6164549815
VEN,ETH,10197.4924700749
VEN,MNG,12725.7408261652
VEN,SDN,8914.73309071556
VEN,UGA,9964.31385127604
VEN,IRQ,10299.7191612028
VEN,JOR,10022.7298281658
VEN,KAZ,10410.216274579101
VEN,NOR,7681.90315866272
VEN,RUS,8502.81488833443
VEN,SWE,8007.93716314321
VEN,DZA,5766.72010903134
VEN,AND,7027.14270703305
VEN,CMR,7560.746635394041
VEN,CAF,8190.7994396113
VEN,TUN,7407.76356319256
VEN,BEN,6649.54071653136
VEN,GNQ,7571.50873683229
VEN,KIR,9313.22943159297
VEN,NER,6566.95835631651
VEN,NGA,6879.98113113665
VEN,STP,7403.037982375891
VEN,TGO,6543.48951538195
VEN,ALB,8489.86633497094
VEN,BIH,8198.853322474499
VEN,HRV,8025.36088574885
VEN,ITA,7484.14864521221
VEN,MKD,8597.36269157507
VEN,MLT,8046.73944431948
VEN,SMR,7930.979023590179
VEN,BGR,8730.38278484273
VEN,CYP,9675.42348252937
VEN,GEO,10138.8718865429
VEN,GRC,8526.218985241841
VEN,LBN,9967.34883014674
VEN,TUR,9042.616493762858
VEN,AUT,7738.182337719731
VEN,CZE,7956.7051891616
VEN,DNK,7769.096611352579
VEN,HUN,8231.502517063509
VEN,POL,8122.50146647065
VEN,SVK,8290.65612153217
VEN,SVN,8020.219003903309
VEN,BEL,7304.851884249069
VEN,FRA,6707.4296466714695
VEN,LUX,7498.424412786609
VEN,NLD,7366.5929640884415
VEN,CHE,7451.5549606799495
VEN,BLR,8732.67442929693
VEN,EST,8627.7120866126
VEN,FIN,8499.260831715981
VEN,LVA,8582.41125664558
VEN,LTU,8582.41125664558
VEN,MDA,9016.05601372602
VEN,ROU,8551.716962756658
VEN,UKR,8682.58099198177
VEN,MDV,14745.265010383799
VEN,OMN,11966.9463133562
VEN,SOM,11160.031756198201
VEN,LKA,15141.579326656101
VEN,TKM,11158.990381299
VEN,UZB,11257.2616056321
VEN,YEM,11085.694989916201
VEN,ARM,10486.1074986935
VEN,AZE,10603.5048804049
VEN,BHR,11589.378366127801
VEN,IRN,10593.3874441716
VEN,KWT,11129.499144531399
VEN,QAT,11641.4430648261
VEN,SAU,10010.139309927901
VEN,ARE,11761.5590186627
VEN,AFG,12153.8328955823
VEN,KGZ,12412.422792448899
VEN,NPL,13981.8457636977
VEN,PAK,12408.3446996282
VEN,TJK,12381.913376523702
VEN,BGD,14781.0895788367
VEN,BTN,14728.986176652199
VEN,BRN,18002.3294408195
VEN,JPN,12752.5796086846
VEN,PRK,13554.165404443502
VEN,PLW,16370.7326663079
VEN,PHL,16268.4237343994
VEN,KOR,14051.159650765701
VEN,KHM,16787.2201890202
VEN,LAO,15923.0919581903
VEN,MMR,15133.3517317551
VEN,THA,15982.736876924198
VEN,VNM,15930.4442039597
VEN,MHL,12903.970254131002
VEN,FSM,13574.1832704162
VEN,BWA,9255.55711685344
VEN,BDI,9929.9914411151
VEN,KEN,10368.6051280851
VEN,RWA,9909.822498037869
VEN,ZMB,9342.88677748896
VEN,ZWE,9749.123049515441
VEN,COM,11611.7534929664
VEN,LSO,10050.9909402888
VEN,MWI,10464.3596694592
VEN,MOZ,10248.865623965401
VEN,ZAF,9020.537398196991
VEN,SWZ,10398.6394755079
VEN,AGO,8107.4450751984305
VEN,COG,7989.98536313029
VEN,COD,8143.19367598615
VEN,FJI,12051.5470365816
VEN,GAB,7661.5858170746205
VEN,NAM,8319.81759027752
VEN,NZL,11649.6552573326
VEN,MDG,11648.633830704399
VEN,MUS,13116.4150282431
VEN,SYC,12861.3577116782
VEN,AUS,14199.3777488105
VEN,NRU,13288.244192259699
VEN,PNG,14595.8010942749
VEN,SLB,13514.1949380799
VEN,TUV,12065.472160019399
VEN,VUT,13187.8983453176
VEN,CAN,3482.09348025368
VEN,DEU,7529.49965296622
VEN,CHN,12603.342916581001
VEN,MYS,17229.5035709402
VEN,SGP,17905.4385903358
VEN,IDN,16162.5714078747
VEN,LBY,7537.9153484605595
VEN,TCD,7996.51029765886
VEN,ISR,9917.670506009521
VEN,SYR,9977.07120262297
VEN,EGY,9029.33400424273
VEN,IND,13167.399235271201
VEN,USA,1738.0490337927301
VEN,TZA,10002.836065067
VEN,MAR,4791.88368114629
VEN,MRT,4778.195655522721
WSM,GUY,12336.9999339804
WSM,SUR,12649.779896168999
WSM,TTO,12373.993022025501
WSM,VEN,11123.388824444899
WSM,WSM,0.0
WSM,TON,853.4795842366631
WSM,ARG,9372.26445108021
WSM,BOL,10755.8455528488
WSM,BRA,10610.5652799138
WSM,CHL,9209.26899493869
WSM,ECU,8904.96573869499
WSM,PRY,11289.7183219628
WSM,PER,9883.47299417576
WSM,URY,11171.518239979
WSM,GTM,9274.99599220391
WSM,MEX,7426.845933476121
WSM,BRB,12683.2366504647
WSM,DMA,12529.5243055088
WSM,GRD,12428.7202532467
WSM,LCA,12539.9137228698
WSM,VCT,12514.8524993021
WSM,DOM,11478.604656436599
WSM,HTI,11219.7519234592
WSM,JAM,10812.046753394001
WSM,BHS,10941.6816837678
WSM,BLZ,9628.61267468595
WSM,COL,10319.0863925019
WSM,CRI,9820.31193401421
WSM,CUB,10234.670374152
WSM,SLV,9475.38434670586
WSM,HND,9573.02288400495
WSM,NIC,9701.27878700613
WSM,PAN,10068.1585697394
WSM,ATG,12508.9082807799
WSM,KNA,12413.0611269688
WSM,ISL,13687.3416647775
WSM,IRL,15168.5035327192
WSM,GBR,14696.5211504181
WSM,CPV,16386.420099185
WSM,CIV,17959.7297692396
WSM,GHA,18404.6873514453
WSM,LBR,17701.0517809504
WSM,PRT,15215.550466274899
WSM,ESP,16328.9902903406
WSM,BFA,18449.326418998102
WSM,GIN,17441.1789413294
WSM,GNB,17291.71466533
WSM,MLI,17789.5386189546
WSM,SEN,17220.2330038928
WSM,SLE,17569.937172198603
WSM,GMB,17289.3164232873
WSM,DJI,16108.4197769972
WSM,ERI,16143.563935625802
WSM,ETH,15539.2039196703
WSM,MNG,9432.52304622843
WSM,SDN,16636.5209973941
WSM,UGA,16672.7686416223
WSM,IRQ,15398.6909217556
WSM,JOR,16140.7926171081
WSM,KAZ,11843.930957204298
WSM,NOR,13448.3507625829
WSM,RUS,7547.949691484399
WSM,SWE,13755.4785220233
WSM,DZA,17367.535844977
WSM,AND,16715.3637902821
WSM,CMR,18371.425396775
WSM,CAF,17618.4138138011
WSM,TUN,17348.4490938945
WSM,BEN,18865.2421240492
WSM,GNQ,18527.2354833104
WSM,KIR,2330.16854520867
WSM,NER,18680.852304666998
WSM,NGA,18889.948563912
WSM,STP,18435.3545878904
WSM,TGO,18824.3059753795
WSM,ALB,16553.8659249257
WSM,BIH,16337.883974169099
WSM,HRV,16242.3753071173
WSM,ITA,16246.9124007821
WSM,MKD,16491.0317789852
WSM,MLT,17414.5220789058
WSM,SMR,16589.095541748702
WSM,BGR,16083.215337708798
WSM,CYP,16336.7753420741
WSM,GEO,15098.0789932671
WSM,GRC,16372.400463513
WSM,LBN,16259.673233694399
WSM,TUR,15337.430841143601
WSM,AUT,15994.9586258252
WSM,CZE,15778.186655086101
WSM,DNK,15077.7120487597
WSM,HUN,15890.9874276419
WSM,POL,15261.055688141201
WSM,SVK,15812.335325903701
WSM,SVN,16205.991117231999
WSM,BEL,15772.1326823324
WSM,FRA,15799.5925272341
WSM,LUX,15930.1660011967
WSM,NLD,15564.4218629249
WSM,CHE,16195.5307804909
WSM,BLR,14902.3601960443
WSM,EST,14616.4920490527
WSM,FIN,13549.3930287833
WSM,LVA,14821.3434307179
WSM,LTU,15001.0217129773
WSM,MDA,15676.9564721066
WSM,ROU,15748.002654541398
WSM,UKR,15006.0090205815
WSM,MDV,12606.676659426
WSM,OMN,14401.2051544998
WSM,SOM,15217.0198093674
WSM,LKA,11853.412011041599
WSM,TKM,13593.027077814299
WSM,UZB,12999.5400048029
WSM,YEM,14920.958239014299
WSM,ARM,15210.947391706999
WSM,AZE,14876.6749170267
WSM,BHR,15298.7040610443
WSM,IRN,14026.314252593798
WSM,KWT,15440.1299659573
WSM,QAT,15206.244579644499
WSM,SAU,14828.945421926299
WSM,ARE,14734.291698923602
WSM,AFG,12874.918328411999
WSM,KGZ,12399.0058900766
WSM,NPL,11561.907796584499
WSM,PAK,12618.504492529499
WSM,TJK,12850.0035968822
WSM,BGD,11012.9162755078
WSM,BTN,11182.0109278079
